#Release 13.2 - par O.61xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 09 09:51:51 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DMA_FPGA_map.ncd
#OUTPUT FILE:      DMA_FPGA_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -2
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB13,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
AB14,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
AB15,,IOBS,IO_L21N_2,UNUSED,,2,,,,,,,,,
AB16,,IOBS,IO_L19N_2,UNUSED,,2,,,,,,,,,
AB17,,IOBS,IO_L15N_2,UNUSED,,2,,,,,,,,,
AB18,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
AB19,BUS_REQ_R_2_PAD_A,IOB,IO_L5N_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
AB20,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
AB21,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,PCI_RST,IOB,IO_L60N_3,INPUT,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
B2,PCI_REQ,IOB,IO_L60P_3,TRISTATE,PCI33_3,3,,,,,,LOCATED,NO,NONE,
B3,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
B4,,,VCCO_0,,,0,,,,,2.50,,,,
B5,,,GND,,,,,,,,,,,,
B6,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCO_0,,,0,,,,,2.50,,,,
B8,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
B11,,,VCCO_0,,,0,,,,,2.50,,,,
B12,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
B15,,,VCCO_0,,,0,,,,,2.50,,,,
B16,BOARD_IDENT<0>,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,BOARD_IDENT<4>,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B19,,,VCCO_0,,,0,,,,,2.50,,,,
B20,BUS_AD_PAD_B<1>,IOB,IO_L1N_A24_VREF_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
B21,BUS_AD_PAD_B<6>,IOB,IO_L19P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
B22,BUS_AD_PAD_B<7>,IOB,IO_L19N_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
C1,PCI_CBE<3>,IOB,IO_L54N_M3A11_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
C2,,,VCCO_3,,,3,,,,,3.30,,,,
C3,PCI_CBE<2>,IOB,IO_L54P_M3RESET_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
C4,,IOBS,IO_L81N_3,UNUSED,,3,,,,,,,,,
C5,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
C6,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
C7,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
C8,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
C9,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C10,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
C11,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
C12,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
C13,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
C14,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
C15,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
C16,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
C17,BOARD_IDENT<2>,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C18,,,TMS,,,,,,,,,,,,
C19,BUS_AD_PAD_B<0>,IOB,IO_L1P_A25_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
C20,BUS_AD_PAD_B<20>,IOB,IO_L32P_A17_M1A8_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
C21,,,VCCO_1,,,1,,,,,3.30,,,,
C22,BUS_AD_PAD_B<21>,IOB,IO_L32N_A16_M1A9_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
D1,PCI_CBE<1>,IOB,IO_L53N_M3A12_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
D2,PCI_CBE<0>,IOB,IO_L53P_M3CKE_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
D3,,IOBM,IO_L81P_3,UNUSED,,3,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,PCI_INTA,IOB,IO_L58P_3,TRISTATE,PCI33_3,3,,,,,,LOCATED,NO,NONE,
D6,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
D7,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
D8,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
D9,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
D10,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
D11,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
D12,,,NC,,,,,,,,,,,,
D13,,,NC,,,,,,,,,,,,
D14,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
D15,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
D16,,,VCCAUX,,,,,,,,2.5,,,,
D17,LED_GREEN,IOB,IO_L66N_SCP0_0,OUTPUT,LVCMOS25*,0,12,,,,,LOCATED,NO,NONE,
D18,,,GND,,,,,,,,,,,,
D19,BUS_AD_PAD_B<14>,IOB,IO_L29P_A23_M1A13_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
D20,BUS_AD_PAD_B<15>,IOB,IO_L29N_A22_M1A14_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
D21,BUS_AD_PAD_B<18>,IOB,IO_L31P_A19_M1CKE_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
D22,BUS_AD_PAD_B<19>,IOB,IO_L31N_A18_M1A12_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
E1,PCI_SERR,IOB,IO_L52N_M3A9_3,TRISTATE,PCI33_3,3,,,,,,LOCATED,NO,NONE,
E2,,,GND,,,,,,,,,,,,
E3,PCI_STOP,IOB,IO_L52P_M3A8_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
E4,PCI_IRDY,IOB,IO_L58N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
E5,,IOBM,IO_L82P_3,UNUSED,,3,,,,,,,,,
E6,,IOBS,IO_L82N_3,UNUSED,,3,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,,NC,,,,,,,,,,,,
E9,,,VCCO_0,,,0,,,,,2.50,,,,
E10,,,NC,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,,NC,,,,,,,,,,,,
E13,,,VCCO_0,,,0,,,,,2.50,,,,
E14,,,NC,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,LED_RED,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS25*,0,12,,,,,LOCATED,NO,NONE,
E17,,,VCCO_0,,,0,,,,,2.50,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,3.30,,,,
E20,BUS_AD_PAD_B<26>,IOB,IO_L35P_A11_M1A7_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
E21,,,GND,,,,,,,,,,,,
E22,BUS_AD_PAD_B<27>,IOB,IO_L35N_A10_M1A2_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F1,,IOBS,IO_L50N_M3BA2_3,UNUSED,,3,,,,,,,,,
F2,,IOBM,IO_L50P_M3WE_3,UNUSED,,3,,,,,,,,,
F3,PCI_TRDY,IOB,IO_L51N_M3A4_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
F4,,,VCCO_3,,,3,,,,,3.30,,,,
F5,PCI_FRAME,IOB,IO_L55N_M3A14_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
F6,,,VCCO_3,,,3,,,,,3.30,,,,
F7,,IOBS,IO_L80N_3,UNUSED,,3,,,,,,,,,
F8,,,NC,,,,,,,,,,,,
F9,,,NC,,,,,,,,,,,,
F10,,,NC,,,,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,,NC,,,,,,,,,,,,
F13,,,NC,,,,,,,,,,,,
F14,,,NC,,,,,,,,,,,,
F15,,,NC,,,,,,,,,,,,
F16,BUS_AD_PAD_B<4>,IOB,IO_L10P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F17,BUS_AD_PAD_B<5>,IOB,IO_L10N_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F18,BUS_AD_PAD_B<16>,IOB,IO_L30P_A21_M1RESET_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F19,BUS_AD_PAD_B<17>,IOB,IO_L30N_A20_M1A11_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F20,BUS_AD_PAD_B<23>,IOB,IO_L33N_A14_M1A4_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F21,BUS_AD_PAD_B<30>,IOB,IO_L37P_A7_M1A0_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
F22,BUS_AD_PAD_B<31>,IOB,IO_L37N_A6_M1A1_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
G1,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
G2,,,VCCO_3,,,3,,,,,3.30,,,,
G3,,IOBM,IO_L48P_M3BA0_3,UNUSED,,3,,,,,,,,,
G4,,IOBM,IO_L51P_M3A10_3,UNUSED,,3,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,PCI_DEVSEL,IOB,IO_L55P_M3A13_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
G7,,IOBM,IO_L80P_3,UNUSED,,3,,,,,,,,,
G8,,,NC,,,,,,,,,,,,
G9,,,NC,,,,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,2.50,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,,,NC,,,,,,,,,,,,
G14,,,VCCO_0,,,0,,,,,2.50,,,,
G15,,,TCK,,,,,,,,,,,,
G16,BUS_AD_PAD_B<2>,IOB,IO_L9P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
G17,BUS_AD_PAD_B<3>,IOB,IO_L9N_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
G18,,,GND,,,,,,,,,,,,
G19,BUS_AD_PAD_B<22>,IOB,IO_L33P_A15_M1A10_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
G20,BUS_M_RDY_PAD_B,IOB,IO_L39P_M1A3_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
G21,,,VCCO_1,,,1,,,,,3.30,,,,
G22,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
H1,,IOBS,IO_L47N_M3A1_3,UNUSED,,3,,,,,,,,,
H2,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
H3,,IOBS,IO_L46N_M3CLKN_3,UNUSED,,3,,,,,,,,,
H4,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
H5,,IOBS,IO_L49N_M3A2_3,UNUSED,,3,,,,,,,,,
H6,,IOBM,IO_L49P_M3A7_3,UNUSED,,3,,,,,,,,,
H7,,,GND,,,,,,,,,,,,
H8,PCI_PERR,IOB,IO_L59N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,,,NC,,,,,,,,,,,,
H11,,,NC,,,,,,,,,,,,
H12,,,NC,,,,,,,,,,,,
H13,,,NC,,,,,,,,,,,,
H14,,,NC,,,,,,,,,,,,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,BUS_AD_PAD_B<12>,IOB,IO_L28P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
H17,BUS_AD_PAD_B<13>,IOB,IO_L28N_VREF_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
H18,BUS_AD_PAD_B<25>,IOB,IO_L34N_A12_M1BA2_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
H19,BUS_AD_PAD_B<24>,IOB,IO_L34P_A13_M1WE_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
H20,,IOBM,IO_L38P_A5_M1CLK_1,UNUSED,,1,,,,,,,,,
H21,,IOBM,IO_L41P_GCLK9_IRDY1_M1RASN_1,UNUSED,,1,,,,,,,,,
H22,,IOBS,IO_L41N_GCLK8_M1CASN_1,UNUSED,,1,,,,,,,,,
J1,,IOBS,IO_L41N_GCLK26_M3DQ5_3,UNUSED,,3,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,PCLK,IOB,IO_L41P_GCLK27_M3DQ4_3,INPUT,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
J4,,IOBS,IO_L44N_GCLK20_M3A6_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,3.30,,,,
J6,,IOBS,IO_L45N_M3ODT_3,UNUSED,,3,,,,,,,,,
J7,PCI_PAR,IOB,IO_L59P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,BUS_AD_PAD_B<11>,IOB,IO_L21N_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
J17,BUS_AD_PAD_B<28>,IOB,IO_L36P_A9_M1BA0_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
J18,,,VCCO_1,,,1,,,,,3.30,,,,
J19,BUS_ABORT_PAD_B,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
J20,,IOBM,IO_L43P_GCLK5_M1DQ4_1,UNUSED,,1,,,,,,,,,
J21,,,GND,,,,,,,,,,,,
J22,,IOBS,IO_L43N_GCLK4_M1DQ5_1,UNUSED,,1,,,,,,,,,
K1,,IOBS,IO_L40N_M3DQ7_3,UNUSED,,3,,,,,,,,,
K2,,IOBM,IO_L40P_M3DQ6_3,UNUSED,,3,,,,,,,,,
K3,,IOBM,IO_L44P_GCLK21_M3A5_3,UNUSED,,3,,,,,,,,,
K4,,IOBS,IO_L43N_GCLK22_IRDY2_M3CASN_3,UNUSED,,3,,,,,,,,,
K5,,IOBM,IO_L43P_GCLK23_M3RASN_3,UNUSED,,3,,,,,,,,,
K6,,IOBM,IO_L45P_M3A3_3,UNUSED,,3,,,,,,,,,
K7,PCI_GNT,IOB,IO_L57P_3,INPUT,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
K8,PCI_IDSEL,IOB,IO_L57N_VREF_3,INPUT,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,BUS_AD_PAD_B<10>,IOB,IO_L21P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
K17,BUS_AD_PAD_B<29>,IOB,IO_L36N_A8_M1BA1_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
K18,rst_channel_2_pad,IOB,IO_L61N_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,NO,NONE,
K19,CLOCK_PAD_B,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
K20,,IOBM,IO_L40P_GCLK11_M1A5_1,UNUSED,,1,,,,,,,,,
K21,BUS_WE_PAD_B,IOB,IO_L44P_A3_M1DQ6_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
K22,BUS_STB_PAD_B,IOB,IO_L44N_A2_M1DQ7_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
L1,,IOBS,IO_L39N_M3LDQSN_3,UNUSED,,3,,,,,,,,,
L2,,,VCCO_3,,,3,,,,,3.30,,,,
L3,,IOBM,IO_L39P_M3LDQS_3,UNUSED,,3,,,,,,,,,
L4,,IOBS,IO_L42N_GCLK24_M3LDM_3,UNUSED,,3,,,,,,,,,
L5,,,GND,,,,,,,,,,,,
L6,PCI_AD<19>,IOB,IO_L25N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,3.30,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,IOBS,IO_L58N_1,UNUSED,,1,,,,,,,,,
L16,,,VCCO_1,,,1,,,,,3.30,,,,
L17,BUS_S_RDY_PAD_B,IOB,IO_L61P_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
L18,,,GND,,,,,,,,,,,,
L19,,IOBS,IO_L42N_GCLK6_TRDY1_M1LDM_1,UNUSED,,1,,,,,,,,,
L20,BUS_ACK_PAD_B,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
L21,,,VCCO_1,,,1,,,,,3.30,,,,
L22,,IOBS,IO_L45N_A0_M1LDQSN_1,UNUSED,,1,,,,,,,,,
M1,,IOBS,IO_L38N_M3DQ3_3,UNUSED,,3,,,,,,,,,
M2,,IOBM,IO_L38P_M3DQ2_3,UNUSED,,3,,,,,,,,,
M3,,IOBM,IO_L42P_GCLK25_TRDY2_M3UDM_3,UNUSED,,3,,,,,,,,,
M4,PCI_AD<23>,IOB,IO_L31N_VREF_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
M5,PCI_AD<22>,IOB,IO_L31P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
M6,PCI_AD<18>,IOB,IO_L25P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
M7,PCI_AD<14>,IOB,IO_L23P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
M8,PCI_AD<15>,IOB,IO_L23N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,,IOBM,IO_L58P_1,UNUSED,,1,,,,,,,,,
M17,channel_3_up_pad,IOB,IO_L71P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
M18,pulse_B,IOB,IO_L71N_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,NO,NONE,
M19,,IOBM,IO_L53P_1,UNUSED,,1,,,,,,,,,
M20,,IOBM,IO_L42P_GCLK7_M1UDM_1,UNUSED,,1,,,,,,,,,
